rowid,﻿artifactNumber,ObjectName,GeneralDescription,model,SerialNumber,Manufacturer,ManuCountry,ManuProvince,ManuCity,BeginDate,EndDate,date_qualifier,patent,NumberOfComponents,ArtifactFinish,ContextCanada,ContextFunction,ContextTechnical,group1,category1,subcategory1,group2,category2,subcategory2,group3,category3,subcategory3,material,Length,Width,Height,Thickness,Weight,Diameter,image,thumbnail,...38
15,1966.0020.001,Propeller,WOOD/ METAL,NA,G1710,S & S Aircraft Co.,Canada,Manitoba,Winnipeg,1942,NA,NA,NA,1,HAS METAL LEADING EDGE & HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,230,25,20,NA,23.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.thumb.png,NA
16,1966.0022.001,Propeller,WOOD,NA,1392,Jacuzzi Bros. Inc.,United States of America,California,Berkeley,NA,NA,NA,NA,1,Varnished,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,242,21,9.8,NA,7.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.thumb.png,NA
17,1966.0024.001,Propeller,WOOD/ METAL HUB ASSEMBLY,PARAGON,1185 4616,American Propeller & Mfg. Co.,United States of America,Maryland,Baltimore,NA,NA,NA,TRADEMARK; PARAGON,1,SEVERAL LAYERS OF VARNISH,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,252,22.5,10.5,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.thumb.png,NA
18,1966.0028.001,Propeller,WOOD/ METAL/ FIBRE,WOLSELEY VIPER,C414N26/AB7673,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,Reddish varnish with grey painted blades/ HAS METAL TIPS/ MINOR CHIPS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal;fibre,243,20,15,NA,9.25 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.thumb.png,NA
75,1966.0069.001,Airplane,these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors,Northrop Delta,CV183,Canadian Vickers Ltd.,Canada,Qu√©bec,Montr√©al,1938,NA,before,NA,1,NA,NA,NA,In 1935  when the RCAF wanted a high performance photographic aircraft  it considered the Northrop Gamma but instead settled on Northrop's transport version of the same aircraft  the Northrop Delta. Canadian Vickers was commissioned to build an initial four aircraft under license and these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors. The larger fuselage accommodated up to eight passengers. For RCAF use  the design was modified to accept three Fairchild A-3 cameras at the rear of the cabin. The cabin floor was strengthened to accept freight loads and a large upward opening freight door was installed on the port side. Two Deltas were armed with a defensive machine gun fitted in an open hatch in the roof. Protection from the slipstream was provided by a plexiglas fairing. This particular installation was not very satisfactory causing buffeting and a marked decrease in performance.,Aviation,Aircraft,NA,NA,NA,NA,NA,NA,NA,metal->aluminum;metal->steel;resin->rubber,9.8 M,14.6 M,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.thumb.png,NA
76,1966.0070.001,Propeller,metal,FAIREY,FR8065,Fairey Aviation Co. Ltd.,England,NA,Hayes,NA,NA,NA,NA,1,Painted black with yellow tips,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,metal,226,NA,NA,NA,20.7 kg,25.0 cm,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.thumb.png,NA
77,1966.0071.001,Propeller,METAL,CURTISS ELECTRIC C634S-C554,174066,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,metal,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.thumb.png,NA
78,1966.0072.001,Propeller,NA,HAMILTON STANDARD,15454,Hamilton Standard Propeller Div.  United Aircraft Corp.,United States of America,Connecticut,East hartford,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.thumb.png,NA
79,1966.0073.001,Propeller,METAL,FAIREY,FR 747,Fairey Aviation Co. Ltd.,England,NA,Hayes,NA,NA,NA,NA,1,HUB CRACKED,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,metal,212,NA,NA,NA,12.25 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.thumb.png,NA
80,1966.0074.001,Propeller,WOOD/ FABRIC,GANO G99-180-100C,787,Gano Propeller Co.,United States of America,Texas,Fort worth,1920,NA,circa,NA,1,BLADES FABRIC COVERED,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;fibre,245,20,15,NA,6.7 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.thumb.png,NA
81,1966.0075.001,Propeller,NA,NA,82941,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1966.0076.001,Propeller,WOOD,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,102,NA,NA,NA,9.5 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.thumb.png,NA
83,1966.0077.001,Propeller,WOOD,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,FEW CHIPS & SCRATCHES,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,208,22.7,8.7,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.thumb.png,NA
84,1966.0078.001,Propeller,WOOD,JACUZZI,1993,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,NA,NA,NA,NA,1,Clear varnish,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,244,NA,NA,NA,9.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.thumb.png,NA
85,1966.0079.001,Propeller,WOOD/ METAL,JACUZZI,N2489,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,NA,NA,NA,NA,1,PAINTED BLACK/ HAS METAL TIPS/ SCRATCHED,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,270,NA,NA,NA,17.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.thumb.png,NA
86,1966.0080.001,Propeller,WOOD,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,HAS HUB BOLTS,NA,NA,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,181,NA,NA,NA,17.5 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0080.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0080.001.aa.cs.thumb.png,NA
87,1966.0081.001,Propeller,WOOD,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,1,varnished with fleck of white paint,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,181,150,7.5,NA,3.5 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0081.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0081.001.aa.cs.thumb.png,NA
88,1966.0083.001,Propeller,WOOD,NA,NA,National Aviation Museum,Canada,Ontario,Ottawa,NA,NA,NA,NA,1,HAS HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,185,NA,NA,NA,3.3 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.thumb.png,NA
89,1966.0084.001,Propeller,WOOD,NA,NA,National Aviation Museum,Canada,Ontario,Ottawa,NA,NA,NA,NA,1,ONE TIP BROKEN/ HAS HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,180,NA,NA,NA,3.3 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.thumb.png,NA
90,1966.0085.001,Propeller,NA,FALCON,N9195,Falcon,United States of America,New york,Jamestown,NA,NA,NA,NA,1,NA,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1966.0086.001,Engine  airplane,NA,LIBERTY 12A,2001B,Lincoln Motor Co.,United States of America,Michigan,Detroit,1918,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.thumb.png,NA
92,1966.0087.001,Engine  airplane,STEEL  ALUMINUM  RUBBER,CONTINENTAL,532367;532347,Continental Motors Corp.,United States of America,Michigan,Muskegon,NA,NA,NA,NA,1,NA,NA,AIRCRAFT POWERPLANT,ONE OF THE FIRST EXAMPLES OF LOW POWERED  SMALL GENERAL PURPOSE ENGINES AND ESTABLISH THE FLAT-4 AS ALMOST THE STANDARD TYPE FOR LIGHT AIRCRAFT,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,metal->steel;metal->aluminum;resin->rubber,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.thumb.png,NA
93,1966.0088.001,Engine  airplane,NA,WRIGHT R3350,NA,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.thumb.png,NA
94,1966.0091.001,Engine  airplane,NA,Pratt & Whitney R985-AN-14B Wasp Junior,1623C,United Aircraft Corp.  Pratt & Whitney Aircraft Div.,United States of America,Connecticut,East hartford,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.thumb.png,NA
95,1966.0092.001,Engine  airplane,NA,CURTISS-WRIGHT R3350-32W,W-572965,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.thumb.png,NA
96,1966.0093.001,Helmet  flying,HELMET: LEATHER EXTERIOR; CHAMOIS LINING; VELVET TRIM; METAL SNAPS & BUCKLES; RUBBER EARPIECE MOUNTINGS,A.M.22C-450/C,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,2,BROWN PEBBLE-GRAINED EXTERIOR; YELLOW BAND PAINTED ACROSS FOREHEAD  CROWN & ON EARPIECE MOUNTINGS; BUFF-COLOURED INTERIOR; DARK BROWN VELVET BAND SEWN TO UPPER INSIDE EDGE; AND LINES FLAP UNDER CHIN STRAP BUCKLE./ CONDITION: FAIR TO GOOD. HELMET EXHIBITS SIGNS OF WEAR,NA,NA,EARLY PATTERN TYPE C INTERMEDIATE FLYING HELMET,Aviation,Clothing,Head gear,NA,NA,NA,NA,NA,NA,skin->leather;skin->chamois;fibre->velvet;metal->;synthetic->bakelite;resin->rubber,33,21,8,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0093.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0093.001.aa.cs.thumb.png,NA
98,1966.0094.001,Helmet  flying,GABARDINE CLOTH/ FLEECE LINING/ LEATHER/ METAL,A-9,NA,Unknown,United States of America,NA,NA,1940,NA,after,NA,1,DRAB OLIVE RIBBED HELMET/ BROWN LEATHER FITTINGS/ NATURAL BUFF-COLOURED FLEECE/ CONDITION: GOOD  SPOILED: REQUIRES CLEANING SOME SIGNS OF WEAR  BUT STRUCTURALLY SOUND OVERALL,NA,NA,NA,Aviation,Clothing,Head gear,NA,NA,NA,NA,NA,NA,fibre->gabardine;skin->sheep;skin->leather;metal,43,23,8.5,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.thumb.png,NA
99,1966.0095.001,Helmet  flying,LEATHER HELMET & CHINSTRAP/ DOESKIN LINING/ RUBBER KAPOK-FILLED EARPHONE MOUNTINGS/ METAL SNAPS & BUCKLE,A-9,NA,SELBY SHOE CO.,United States of America,NA,NA,1942,NA,after,NA,1,DARK BROWN CAPE LEATHER EXTERIOR/ BUFF-COLOURED LININGS/ BLACK EARPHONE MOUNTINGS,NA,NA,NA,Aviation,Clothing,Head gear,NA,NA,NA,NA,NA,NA,skin->leather;resin->rubber;metal,37,23,6,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.thumb.png,NA
100,1966.0096.001,Helmet  flying,LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE  SNAPS & BUCKLES,NA,NA,MUIR CAP & REGALIA LTD.,Canada,Ontario,Toronto,1930,1939,between,NA,1,MEDIUM BROWN LEATHER/ BUFF-COLOURED LINING/ CONDITION: FAIR. WORN AND SOILED. MUCH CORROSION ON ALL METAL AREAS. NUMEROUS SMALL TEARS AND ABRASIONS OF INTERIOR & EXTERIOR SURFACES. STITCHING OF LINING TO LEATHER SHELL UNRAVELLED ALONG LOWER NECKLINE  AND ON CHINSTRAP.,NA,NA,NA,Aviation,Clothing,Head gear,NA,NA,NA,NA,NA,NA,skin->leather;skin->chamois;metal,41,24,7,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.thumb.png,NA
