rowid,﻿artifactNumber,ObjectName,GeneralDescription,model,SerialNumber,Manufacturer,ManuCountry,ManuProvince,ManuCity,BeginDate,EndDate,date_qualifier,patent,NumberOfComponents,ArtifactFinish,ContextCanada,ContextFunction,ContextTechnical,group1,category1,subcategory1,group2,category2,subcategory2,group3,category3,subcategory3,material,Length,Width,Height,Thickness,Weight,Diameter,image,thumbnail,...38
85,1966.0079.001,Propeller,WOOD/ METAL,JACUZZI,N2489,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,NA,NA,NA,NA,1,PAINTED BLACK/ HAS METAL TIPS/ SCRATCHED,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood;metal,270,NA,NA,NA,17.0 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.thumb.png,NA
88,1966.0083.001,Propeller,WOOD,NA,NA,National Aviation Museum,Canada,Ontario,Ottawa,NA,NA,NA,NA,1,HAS HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,185,NA,NA,NA,3.3 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.thumb.png,NA
89,1966.0084.001,Propeller,WOOD,NA,NA,National Aviation Museum,Canada,Ontario,Ottawa,NA,NA,NA,NA,1,ONE TIP BROKEN/ HAS HUB BOLTS,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,wood,180,NA,NA,NA,3.3 kg,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.thumb.png,NA
90,1966.0085.001,Propeller,NA,FALCON,N9195,Falcon,United States of America,New york,Jamestown,NA,NA,NA,NA,1,NA,NA,Aircraft propulsion,NA,Aviation,Aircraft parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1966.0086.001,Engine  airplane,NA,LIBERTY 12A,2001B,Lincoln Motor Co.,United States of America,Michigan,Detroit,1918,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.thumb.png,NA
92,1966.0087.001,Engine  airplane,STEEL  ALUMINUM  RUBBER,CONTINENTAL,532367;532347,Continental Motors Corp.,United States of America,Michigan,Muskegon,NA,NA,NA,NA,1,NA,NA,AIRCRAFT POWERPLANT,ONE OF THE FIRST EXAMPLES OF LOW POWERED  SMALL GENERAL PURPOSE ENGINES AND ESTABLISH THE FLAT-4 AS ALMOST THE STANDARD TYPE FOR LIGHT AIRCRAFT,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,metal->steel;metal->aluminum;resin->rubber,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.thumb.png,NA
93,1966.0088.001,Engine  airplane,NA,WRIGHT R3350,NA,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.thumb.png,NA
94,1966.0091.001,Engine  airplane,NA,Pratt & Whitney R985-AN-14B Wasp Junior,1623C,United Aircraft Corp.  Pratt & Whitney Aircraft Div.,United States of America,Connecticut,East hartford,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.thumb.png,NA
95,1966.0092.001,Engine  airplane,NA,CURTISS-WRIGHT R3350-32W,W-572965,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,NA,NA,NA,NA,1,NA,NA,NA,NA,Aviation,Motive power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.thumb.png,NA
100,1966.0096.001,Helmet  flying,LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE  SNAPS & BUCKLES,NA,NA,MUIR CAP & REGALIA LTD.,Canada,Ontario,Toronto,1930,1939,between,NA,1,MEDIUM BROWN LEATHER/ BUFF-COLOURED LINING/ CONDITION: FAIR. WORN AND SOILED. MUCH CORROSION ON ALL METAL AREAS. NUMEROUS SMALL TEARS AND ABRASIONS OF INTERIOR & EXTERIOR SURFACES. STITCHING OF LINING TO LEATHER SHELL UNRAVELLED ALONG LOWER NECKLINE  AND ON CHINSTRAP.,NA,NA,NA,Aviation,Clothing,Head gear,NA,NA,NA,NA,NA,NA,skin->leather;skin->chamois;metal,41,24,7,NA,NA,NA,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.thumb.png,NA
